,Contrato,Situação
QUALITY - BH-5,41****11,pendente
QUALITY - BH-6,41****22,pendente
QUALITY - BH-7,41****35,pendente
QUALITY - BH-8,42****00,pendente
QUALITY - BH-9,41****01,pendente
QUALITY - BH-10,42****93,pendente
QUALITY - BH-11,42****72,pendente
QUALITY - BH-12,42****53,pendente
MERCURY COPA-0,41****01,pendente
MERCURY COPA-1,42****93,pendente
MERCURY COPA-2,42****72,pendente
MERCURY COPA-3,42****53,pendente
MERCURY COPA-4,41****92,pendente
MERCURY COPA-5,42****55,pendente
MERCURY COPA-6,41****86,pendente
PARK OESTE GO-0,42****43,pendente
PARK OESTE GO-1,42****87,pendente
PARK OESTE GO-2,42****21,pendente
FIT SORRISO MT-0,42****43,pendente
FIT SORRISO MT-1,42****87,pendente
FIT SORRISO MT-2,42****21,pendente
GETAN GO-0,42****50,pendente
GETAN GO-1,42****99,pendente
GETAN GO-2,60*****224,pendente
GETAN GO-4,42****91,pendente
GETAN GO-5,42****44,pendente
CONFORT MACAÉ-0,42****00,pendente
CONFORT MACAÉ-1,42****33,pendente
CONFORT MACAÉ-3,42****42,pendente
CONFORT MACAÉ-4,42****57,pendente
HOUSI 2 SP-0,42****43,pendente
HOUSI 2 SP-1,42****87,pendente
HOUSI 2 SP-2,42****21,pendente
HOUSI 2 SP-3,42****50,pendente
HOUSI 2 SP-4,42****99,pendente
HOUSI 2 SP-5,60*****224,pendente
HOUSI 2 SP-7,42****91,pendente
HOUSI 2 SP-8,42****44,pendente
TAUÁ - GO-0,42****10,pendente
TAUÁ - GO-1,42****46,pendente
TAUÁ - GO-2,42****79,pendente
TAUÁ - GO-3,42****87,pendente
TAUÁ - GO-4,41****92,pendente
TAUÁ - GO-5,42****55,pendente
TAUÁ - GO-6,41****86,pendente
INTERCITY PINDA SP-0,41****92,pendente
INTERCITY PINDA SP-1,42****55,pendente
INTERCITY PINDA SP-2,41****86,pendente
COLONIAL PINDA SP-0,42****25,pendente
COLONIAL PINDA SP-1,42****83,pendente
COLONIAL PINDA SP-2,42****02,pendente
OURO CERRADO - MG-0,42****89,pendente
OURO CERRADO - MG-2,42****47,pendente
OURO CERRADO - MG-4,42****10,pendente
OURO CERRADO - MG-6,42****62,pendente
OURO CERRADO - MG-8,050********9403,pendente
OURO CERRADO - MG-10,41****33,pendente
OURO CERRADO - MG-11,41****86,pendente
OURO CERRADO - MG-13,41****28,pendente
RAMADA - MG-0,42****48,pendente
RAMADA - MG-1,42****99,pendente
RAMADA - MG-2,20*****880,pendente
RAMADA - MG-3,42****30,pendente
RAMADA - MG-4,42****05,pendente
RAMADA - MG-5,42****10,pendente
RAMADA - MG-6,42****46,pendente
RAMADA - MG-7,42****79,pendente
RAMADA - MG-8,42****87,pendente
RAMADA - MG-9,41****01,pendente
RAMADA - MG-10,42****93,pendente
RAMADA - MG-11,42****72,pendente
RAMADA - MG-12,42****53,pendente
SOL IPANEMA-0,41****01,pendente
SOL IPANEMA-1,42****93,pendente
SOL IPANEMA-2,42****72,pendente
SOL IPANEMA-3,42****53,pendente
SOL IPANEMA-4,42****82,pendente
SOL IPANEMA-5,42****87,pendente
SOL IPANEMA-6,42****22,pendente
SOL IPANEMA-7,42****90,pendente
QUALITY - GO-0,42****64,pendente
QUALITY - GO-1,42****68,pendente
QUALITY - GO-2,42****96,pendente
QUALITY - GO-3,42****10,pendente
QUALITY - GO-4,41****01,pendente
QUALITY - GO-5,42****93,pendente
QUALITY - GO-6,42****72,pendente
QUALITY - GO-7,42****53,pendente
ROYALTI COPA 2-0,42****71,pendente
ROYALTI COPA 2-1,42****14,pendente
ROYALTI COPA 2-2,42****35,pendente
ROYALTI COPA 2-3,42****73,pendente
SOUTH COPA-0,42****71,pendente
SOUTH COPA-1,42****14,pendente
SOUTH COPA-2,42****35,pendente
SOUTH COPA-3,42****73,pendente
HILTON EMBU-0,42****93,pendente
HILTON EMBU-1,42****34,pendente
HILTON EMBU-2,42****72,pendente
HILTON EMBU-3,42****89,pendente
HILTON EMBU-4,42****90,pendente
HILTON EMBU-5,42****10,pendente
HILTON EMBU-6,42****47,pendente
HILTON EMBU-7,42****24,pendente
HILTON EMBU-8,42****68,pendente
HILTON EMBU-9,42****50,pendente
HILTON EMBU-10,42****76,pendente
HOSP CENTRAL DE GOIANASES-0,42****93,pendente
HOSP CENTRAL DE GOIANASES-1,42****34,pendente
HOSP CENTRAL DE GOIANASES-2,42****72,pendente
HOSP CENTRAL DE GOIANASES-3,42****89,pendente
GRANDE HOTEL ARAXÁ-0,20*****060,pendente
GRANDE HOTEL ARAXÁ-1,20*****940,pendente
GRANDE HOTEL ARAXÁ-2,42****87,pendente
GRANDE HOTEL ARAXÁ-3,20*****209,pendente
GRANDE HOTEL ARAXÁ-5,42****24,pendente
GRANDE HOTEL ARAXÁ-6,42****68,pendente
GRANDE HOTEL ARAXÁ-7,42****50,pendente
GRANDE HOTEL ARAXÁ-8,42****76,pendente
GRANDE HOTEL ARAXÁ-9,42****99,pendente
GRANDE HOTEL ARAXÁ-10,42****66,pendente
GRANDE HOTEL ARAXÁ-11,42****51,pendente
GRANDE HOTEL ARAXÁ-12,42****94,pendente
VILLA DO VALE - SC-0,42****64,pendente
VILLA DO VALE - SC-1,42****62,pendente
VILLA DO VALE - SC-2,42****63,pendente
VILLA DO VALE - SC-3,42****69,pendente
VILLA DO VALE - SC-4,42****34,pendente
VILLA DO VALE - SC-5,42****00,pendente
VILLA DO VALE - SC-6,42****65,pendente
VILLA DO VALE - SC-7,42****09,pendente
WINDSOR CALIFÓRNIA HD-0,42****34,pendente
WINDSOR CALIFÓRNIA HD-1,42****00,pendente
WINDSOR CALIFÓRNIA HD-2,42****65,pendente
WINDSOR CALIFÓRNIA HD-3,42****09,pendente
WINDSOR CALIFÓRNIA HD-4,42****42,pendente
WINDSOR CALIFÓRNIA HD-5,42****94,pendente
WINDSOR CALIFÓRNIA HD-6,42****69,pendente
WINDSOR CALIFÓRNIA HD-7,42****82,pendente
WINDSOR CALIFÓRNIA HD-8,42****87,pendente
WINDSOR CALIFÓRNIA HD-9,42****22,pendente
WINDSOR CALIFÓRNIA HD-10,42****90,pendente
JFL - SP-0,42****34,pendente
JFL - SP-1,42****00,pendente
JFL - SP-2,42****65,pendente
JFL - SP-3,42****09,pendente
PORTO CANAL-0,42****14,pendente
PORTO CANAL-1,42****22,pendente
PORTO CANAL-2,20*****267,pendente
PORTO CANAL-3,42****41,pendente
PORTO CANAL-4,42****19,pendente
PORTO CANAL-5,42****33,pendente
PORTO CANAL-6,42****76,pendente
PORTO CANAL-8,42****27,pendente
PORTO CANAL-10,42****88,pendente
NH CURITIBA-0,42****10,pendente
NH CURITIBA-1,42****74,pendente
NH CURITIBA-2,42****96,pendente
NH CURITIBA-3,42****90,pendente
NH CURITIBA-4,42****33,pendente
NH CURITIBA-5,42****76,pendente
NH CURITIBA-7,42****27,pendente
NH CURITIBA-9,42****88,pendente
NH CURITIBA-10,42****73,pendente
NH CURITIBA-11,42****77,pendente
NH CURITIBA-12,42****78,pendente
NH CURITIBA-13,42****82,pendente
NH CURITIBA-14,42****93,pendente
NH CURITIBA-15,42****34,pendente
NH CURITIBA-16,42****72,pendente
NH CURITIBA-17,42****89,pendente
NH CURITIBA-19,42****62,pendente
NH CURITIBA-21,050********9403,pendente
NH CURITIBA-23,41****33,pendente
NH CURITIBA-24,41****86,pendente
NH CURITIBA-26,41****28,pendente
GRAND MERCURE-1,42****62,pendente
GRAND MERCURE-3,050********9403,pendente
GRAND MERCURE-5,41****33,pendente
GRAND MERCURE-6,41****86,pendente
GRAND MERCURE-8,41****28,pendente
GRAND MERCURE-9,42****33,pendente
GRAND MERCURE-10,42****76,pendente
GRAND MERCURE-12,42****27,pendente
GRAND MERCURE-14,42****88,pendente
AUGUSTUS - GO-0,42****73,pendente
AUGUSTUS - GO-1,42****77,pendente
AUGUSTUS - GO-2,42****78,pendente
AUGUSTUS - GO-3,42****82,pendente
PIEMONTE - MG-1,42****11,pendente
PIEMONTE - MG-4,42****51,pendente
PIEMONTE - MG-5,42****64,pendente
PIEMONTE - MG-7,42****59,pendente
PRAIA EXPRESS - RN-0,42****68,pendente
PRAIA EXPRESS - RN-1,42****70,pendente
PRAIA EXPRESS - RN-2,42****13,pendente
PRAIA EXPRESS - RN-3,42****38,pendente
HOLIDAY INN - RN-0,42****68,pendente
HOLIDAY INN - RN-1,42****70,pendente
HOLIDAY INN - RN-2,42****13,pendente
HOLIDAY INN - RN-3,42****38,pendente
PRAIAMAR - RN-0,42****42,pendente
PRAIAMAR - RN-1,42****94,pendente
PRAIAMAR - RN-2,42****69,pendente
PRAIAMAR - RN-3,42****09,pendente
QUALITY VITÓRIA-0,42****62,pendente
QUALITY VITÓRIA-1,42****98,pendente
QUALITY VITÓRIA-2,42****41,pendente
QUALITY VITÓRIA-3,42****07,pendente
QUALITY VITÓRIA-4,42****93,pendente
QUALITY VITÓRIA-5,42****34,pendente
QUALITY VITÓRIA-6,42****72,pendente
QUALITY VITÓRIA-7,42****89,pendente
QUALITY VITÓRIA-8,41****41,pendente
QUALITY VITÓRIA-9,41****64,pendente
QUALITY VITÓRIA-10,42****25,pendente
QUALITY VITÓRIA-11,42****40,pendente
HOSPITAL IFOR SP-0,41****41,pendente
HOSPITAL IFOR SP-1,41****64,pendente
HOSPITAL IFOR SP-2,42****25,pendente
HOSPITAL IFOR SP-3,42****40,pendente
TOSCANINI - BH-0,42****26,pendente
TOSCANINI - BH-2,42****06,pendente
TOSCANINI - BH-4,42****86,pendente
TRANSAMERICA - MT-0,42****26,pendente
TRANSAMERICA - MT-2,42****06,pendente
TRANSAMERICA - MT-4,42****86,pendente
DALLAS - MG-0,42****19,pendente
VERA GRUZ - GO-0,42****42,pendente
MALAGA-1,42****63,pendente
MALAGA-2,42****13,pendente
MALAGA-3,42****51,pendente
INDEPENDENCE MASÕES - GO-0,42****48,pendente
GETAN GRID - GO-0,12*****257,pendente
GETAN GRID - GO-1,42****40,pendente
GETAN NOVO MUNDO - GO-0,42****90,pendente
GETAN NOVO MUNDO - GO-1,42****60,pendente
LAGUNA - PB-0,42****34,pendente
LAGUNA - PB-1,42****43,pendente
LAGUNA - PB-2,42****94,pendente
LAGUNA - PB-3,42****90,pendente
LAGUNA - PB-4,42****60,pendente
LSH-0,42****83,pendente
LSH-2,42****90,pendente
LSH-3,42****60,pendente
CASABLANCA-0,12*****257,pendente
CASABLANCA-1,42****40,pendente
CASABLANCA-2,42****90,pendente
CASABLANCA-3,42****60,pendente
SLEEP INN - ES-0,42****90,pendente
SLEEP INN - ES-1,42****60,pendente
SLEEP INN - ES-2,42****19,pendente
SLEEP INN - ES-3,41****57,pendente
SLEEP INN - ES-4,41****95,pendente
SLEEP INN - ES-5,42****70,pendente
SLEEP INN - ES-6,41****34,pendente
COMFORT - CAMPOS-0,41****57,pendente
COMFORT - CAMPOS-1,41****95,pendente
COMFORT - CAMPOS-2,42****70,pendente
COMFORT - CAMPOS-3,41****34,pendente
COMFORT - CAMPOS-4,42****48,pendente
JML 747 - SP-0,41****57,pendente
JML 747 - SP-1,41****95,pendente
JML 747 - SP-2,42****70,pendente
JML 747 - SP-3,41****34,pendente
JML 747 - SP-4,42****48,pendente
HOSP SÃO VICENTE-0,42****48,pendente
